winery,wine,year,rating,rating_norm,price,price_group,region,body,acidity,quality_price_percent
Pintia,Toro,2017,4.5,0.4285714285714282,54.09,mid,Toro,5.0,3.0,78.43379446640316
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017,4.5,0.4285714285714282,67.9,mid,Rioja,4.0,3.0,69.04644268774705
Sierra Cantabria,Finca el Bosque,2016,4.5,0.4285714285714282,80.95,mid,Rioja,4.0,3.0,61.75889328063242
Alvear,Solera 1830 Pedro Ximenez,,4.5,0.4285714285714282,114.5,mid,Montilla-Moriles,5.0,1.0,53.03853754940712
Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018,4.5,0.4285714285714282,50.34,mid,Rioja,3.0,3.0,81.05237154150198
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014,4.5,0.4285714285714282,57.96,mid,Ribera del Duero,5.0,3.0,75.51877470355731
Marques de Riscal,Baron de Chirel Rioja Reserva,2016,4.5,0.4285714285714282,73.62,mid,Rioja,4.0,3.0,66.32905138339922
Ossian,Capitel,2016,4.5,0.4285714285714282,144.78,mid,Castilla y Leon,3.0,3.0,48.19664031620554
Recaredo,Turo d'en Mota,2005,4.5,0.4285714285714282,90.0,mid,Cava,2.0,3.0,58.37450592885376
Sierra Cantabria,Amancio,2015,4.5,0.4285714285714282,89.95,mid,Rioja,4.0,3.0,58.67094861660078
Vina Sastre,Regina Vides Ribera del Duero,2015,4.5,0.4285714285714282,92.8,mid,Ribera del Duero,5.0,3.0,57.534584980237156
Marques de Grinon,Emeritvs (Emeritus),2013,4.5,0.4285714285714282,48.9,low,Dominio de Valdepusa,4.0,3.0,48.98477157360406
Vina Sastre,Regina Vides Ribera del Duero,2016,4.5,0.4285714285714282,70.55,mid,Ribera del Duero,5.0,3.0,67.16897233201581
Recaredo,Turo d'en Mota,2006,4.5,0.4285714285714282,110.0,mid,Cava,2.0,3.0,53.80434782608696
Martinet,Cami Pesseroles,2009,4.5,0.4285714285714282,139.3,mid,Priorato,4.0,3.0,48.98715415019763
Dominio del Aguila,Reserva,2018,4.5,0.4285714285714282,59.8,mid,Ribera del Duero,5.0,3.0,74.28359683794467
Sierra Cantabria,Amancio,2014,4.5,0.4285714285714282,75.0,mid,Rioja,4.0,3.0,65.16798418972331
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,4.5,0.4285714285714282,57.0,mid,Ribera del Duero,5.0,3.0,75.98814229249011
Artadi,Vina El Pison,2013,4.5,0.4285714285714282,253.47,mid,Vino de Espana,4.0,2.0,38.95750988142292
Emilio Rojo,Blanco,2017,4.5,0.4285714285714282,49.95,low,Ribeiro,4.0,3.0,47.61421319796954
Vina Sastre,Pesus Ribera del Duero,2015,4.5,0.4285714285714282,298.0,mid,Ribera del Duero,5.0,3.0,37.52470355731226
Abadia Retuerta,Pago Garduna,2009,4.5,0.4285714285714282,73.6,mid,Castilla y Leon,4.0,3.0,66.42786561264822
Bodegas Mas Alta,La Basseta,2013,4.5,0.4285714285714282,58.0,mid,Priorato,4.0,3.0,75.4199604743083
Territorio Luthier,Territorio Luthier Reserva,2016,4.5,0.4285714285714282,54.0,mid,Ribera del Duero,5.0,3.0,78.60671936758894
Alion,Ribera del Duero,2018,4.5,0.4285714285714282,78.38,mid,Ribera del Duero,5.0,3.0,63.290513833992094
Vega Sicilia,Valbuena 5o,1988,4.5,0.4285714285714282,228.63,mid,Ribera del Duero,5.0,3.0,40.53853754940712
Anima Negra,Son Negre,2011,4.5,0.4285714285714282,228.9,mid,Mallorca,4.0,3.0,40.48913043478261
Costers del Siurana,Clos de L'Obac,2010,4.5,0.4285714285714282,81.3,mid,Priorato,4.0,3.0,61.58596837944663
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018,4.5,0.4285714285714282,165.0,mid,Ribera del Duero,5.0,3.0,45.676877470355734
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,0.4285714285714282,54.9,mid,Ribera del Duero,5.0,3.0,77.96442687747036
Rafael Palacios,As Sortes Val do Bibei Godello,2020,4.5,0.4285714285714282,55.0,mid,Valdeorras,,,77.59387351778656
Martinet,Cami Pesseroles,2010,4.5,0.4285714285714282,131.85,mid,Priorato,4.0,3.0,49.77766798418972
Pago de Los Capellanes,Parcela El Picon Tinto,2015,4.5,0.4285714285714282,148.39,mid,Ribera del Duero,5.0,3.0,47.60375494071146
Adama Wines,Tinto,2011,4.5,0.4285714285714282,39.0,low,Ribera del Duero,5.0,3.0,58.07106598984772
Jesus Madrazo,Seleccion Rioja,2015,4.5,0.4285714285714282,67.1,mid,Rioja,4.0,3.0,69.34288537549406
Tinto Pesquera,Millenium Reserva,1996,4.5,0.4285714285714282,199.45,mid,Ribera del Duero,5.0,3.0,42.119565217391305
Bodegas Naluar & Acediano,Acediano,2015,4.5,0.4285714285714282,52.0,mid,Ribera del Duero,5.0,3.0,80.08893280632411
Marques de Caceres,Gaudium,2016,4.5,0.4285714285714282,34.9,low,Rioja,4.0,3.0,65.30456852791879
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,4.5,0.4285714285714282,75.81,mid,Ribera del Duero,5.0,3.0,64.40217391304348
Sierra Cantabria,Finca el Bosque,2017,4.5,0.4285714285714282,84.36,mid,Rioja,4.0,3.0,60.89426877470356
Trus,Pico de Luyas,2016,4.5,0.4285714285714282,47.95,low,Ribera del Duero,5.0,3.0,49.72081218274111
Artadi,Grandes Anadas Rioja,2001,4.5,0.4285714285714282,391.65,mid,Rioja,4.0,3.0,35.15316205533597
Juan Gil,Bruto,2019,4.5,0.4285714285714282,32.5,low,Jumilla,5.0,3.0,69.82233502538071
Muga,Aro,2004,4.5,0.4285714285714282,198.0,mid,Rioja,4.0,3.0,42.26778656126483
Mestres,Mas Via Gran Reserva Brut,2004,4.5,0.4285714285714282,40.33,low,Cava,2.0,3.0,55.88832487309645
Alvaro Palacios,Les Aubaguetes Priorat,2015,4.5,0.4285714285714282,302.5,mid,Priorato,4.0,3.0,37.22826086956522
Quinta de la Quietud,La Mula de la Quietud,2016,4.5,0.4285714285714282,62.0,mid,Toro,5.0,3.0,72.40612648221344
Chivite,Navarra Coleccion 125 Blanco,2018,4.5,0.4285714285714282,49.1,low,Navarra,4.0,3.0,48.52791878172589
Marques de Murrieta,Dalmau Rioja,2015,4.5,0.4285714285714282,75.0,mid,Rioja,4.0,3.0,65.16798418972331
Enate,Chardonnay Uno,2011,4.5,0.4285714285714282,200.13,mid,Somontano,4.0,3.0,42.02075098814229
Toro Albala,Don PX Vieja Cosecha,1973,4.5,0.4285714285714282,113.0,mid,Montilla-Moriles,5.0,1.0,53.33498023715415
Bodega Ribas,Ribas de Cabrera,2018,4.5,0.4285714285714282,68.4059721390231,mid,Mallorca,4.0,3.0,68.60177865612648
Vinas del Cenit,Cenit,2012,4.5,0.4285714285714282,37.5,low,Tierra del Vino de Zamora,4.0,2.0,60.71065989847715
Artadi,El Carretil,2012,4.5,0.4285714285714282,165.0,mid,Vino de Espana,4.0,2.0,45.676877470355734
Alvaro Palacios,Quinon de Valmira,2016,4.5,0.4285714285714282,415.0,mid,Rioja,4.0,3.0,34.90612648221344
Bodegas Naluar & Acediano,Acediano,2014,4.5,0.4285714285714282,74.0,mid,Ribera del Duero,5.0,3.0,66.00790513833992
Mas del Serral,Mas del Serral,2007,4.5,0.4285714285714282,192.16,mid,Penedes,2.0,3.0,43.255928853754945
Cervoles,Estrats,2009,4.5,0.4285714285714282,59.82,mid,Costers del Segre,4.0,3.0,74.23418972332017
Anima Negra,Son Negre,2016,4.5,0.4285714285714282,164.9,mid,Mallorca,4.0,3.0,45.77569169960474
Diez Merito,Fino Imperial Amontillado 30 Anos,,4.5,0.4285714285714282,94.9,mid,Jerez Amontillado,4.0,3.0,57.0899209486166
Valdespino,Coliseo Amontillado VORS,,4.5,0.4285714285714282,199.0,mid,Jerez Amontillado,4.0,3.0,42.19367588932806
Sierra Cantabria,Finca el Bosque,2018,4.5,0.4285714285714282,85.95,mid,Rioja,4.0,3.0,59.980237154150196
Familia Torres,Grans Muralles,2000,4.5,0.4285714285714282,125.05,mid,Conca de Barbera,4.0,3.0,50.56818181818181
Emilio Moro,Malleolus de Valderramiro,2018,4.5,0.4285714285714282,85.55,mid,Ribera del Duero,5.0,3.0,60.251976284584984
Bodega Contador (Benjamin Romeo),Contador Rioja,2016,4.5,0.4285714285714282,317.75,mid,Rioja,4.0,3.0,36.684782608695656
Adama Wines,Tinto,2010,4.5,0.4285714285714282,35.0,low,Ribera del Duero,5.0,3.0,64.59390862944161
R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981,4.5,0.4285714285714282,274.95,mid,Rioja Alta,3.0,3.0,38.31521739130435
Martinet,Cami Pesseroles,2014,4.5,0.4285714285714282,82.55,mid,Priorato,4.0,3.0,61.091897233201585
Clos Mogador,Priorat,2019,4.5,0.4285714285714282,63.9,mid,Priorato,4.0,3.0,71.46739130434783
Marques de Burgos,8000,2017,4.5,0.4285714285714282,29.95,low,Ribera del Duero,5.0,3.0,72.94416243654823
Vina Sastre,Pesus Ribera del Duero,2009,4.5,0.4285714285714282,312.6,mid,Ribera del Duero,5.0,3.0,36.98122529644269
Bodegas Mas Alta,La Basseta,2017,4.5,0.4285714285714282,58.95,mid,Priorato,4.0,3.0,74.82707509881423
Artadi,La Poza de Ballesteros,2010,4.5,0.4285714285714282,99.35,mid,Vino de Espana,4.0,2.0,55.50889328063241
Penafiel,Mironia Black Edition Tempranillo,2015,4.5,0.4285714285714282,49.5,low,Ribera del Duero,5.0,3.0,48.401015228426395
Bodegas Mas Alta,La Creu Alta,2015,4.5,0.4285714285714282,234.98,mid,Priorato,4.0,3.0,40.14328063241106
Costers del Siurana,Miserere,2010,4.5,0.4285714285714282,78.5,mid,Priorato,4.0,3.0,63.166996047430835
Muga,Prado Enea Gran Reserva,2015,4.5,0.4285714285714282,56.95,mid,Rioja,4.0,3.0,76.13636363636364
Tobia,Alma Tobia Rioja,2015,4.5,0.4285714285714282,40.0,low,Rioja,4.0,3.0,56.16751269035534
Tresmano - Tr3smano,Tm,2016,4.5,0.4285714285714282,100.0,mid,Ribera del Duero,4.0,2.0,55.212450592885375
Mas Doix,Doix,2017,4.5,0.4285714285714282,79.9,mid,Priorato,4.0,3.0,62.450592885375485
Sei Solo,Tinto,2012,4.5,0.4285714285714282,63.5,mid,Ribera del Duero,5.0,3.0,71.6403162055336
Miguel Merino,La Loma,2017,4.5,0.4285714285714282,38.9,low,Rioja Alta,4.0,3.0,58.2994923857868
Finca Villacreces,Nebro Ribera del Duero,2011,4.5,0.4285714285714282,154.5,mid,Ribera del Duero,5.0,3.0,46.912055335968375
Clos Erasmus,Priorat,2012,4.5,0.4285714285714282,374.66,mid,Priorato,4.0,3.0,35.499011857707515
Artadi,El Carretil,2015,4.5,0.4285714285714282,143.51,mid,Vino de Espana,4.0,2.0,48.27075098814229
Virgen de la Asuncion,El Canto del Angel,2014,4.5,0.4285714285714282,59.95,mid,Ribera del Duero,5.0,3.0,73.46837944664031
Artadi,Grandes Anadas Rioja,1998,4.5,0.4285714285714282,467.65,mid,Rioja,4.0,3.0,34.31324110671937
Remirez de Ganuza,Rioja Blanco Reserva,2012,4.5,0.4285714285714282,65.5,mid,Rioja,3.0,3.0,69.83695652173914
Remirez de Ganuza,Gran Reserva,2011,4.5,0.4285714285714282,88.5,mid,Rioja,4.0,3.0,59.362648221343875
Romate,Cayetano del Pino Viejisimo Palo Cortado,,4.5,0.4285714285714282,25.92,low,Jerez Palo Cortado,4.0,3.0,79.18781725888324
Allende,Calvario Rioja,2002,4.5,0.4285714285714282,95.0,mid,Rioja,4.0,3.0,56.6699604743083
Dominio del Aguila,Gran Reserva Penas Aladas,2012,4.5,0.4285714285714282,559.02,mid,Ribera del Duero,5.0,3.0,33.57213438735178
Martinet,Cami Pesseroles,2012,4.5,0.4285714285714282,115.85,mid,Priorato,4.0,3.0,52.84090909090909
Vega Sicilia,Unico,1969,4.5,0.4285714285714282,976.83,mid,Ribera del Duero,5.0,3.0,31.398221343873516
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005,4.5,0.4285714285714282,266.81,mid,Priorato,4.0,3.0,38.66106719367589
Dehesa del Carrizal,Coleccion Privada,2017,4.5,0.4285714285714282,26.9,low,Dehesa del Carrizal,4.0,3.0,77.86802030456852
Tarsus,Finca El Canto,2015,4.5,0.4285714285714282,89.66,mid,Ribera del Duero,4.0,2.0,59.016798418972336
Hacienda Solano,Finca Cascorrales,2016,4.5,0.4285714285714282,64.3,mid,Ribera del Duero,5.0,3.0,71.02272727272727
La Rioja Alta,Rioja Gran Reserva 904,1987,4.5,0.4285714285714282,190.0,mid,Rioja,4.0,3.0,43.40415019762846
Marques de Grinon,AAA,2004,4.5,0.4285714285714282,141.2,mid,Dominio de Valdepusa,4.0,3.0,48.44367588932806
Adama Wines,Tinto,2007,4.5,0.4285714285714282,32.0,low,Ribera del Duero,5.0,3.0,70.71065989847716
Beronia,Rioja Gran Reserva,1994,4.5,0.4285714285714282,61.0,mid,Rioja,4.0,3.0,72.80138339920948
Monte Real,Gran Reserva,1964,4.5,0.4285714285714282,140.0,mid,Rioja,4.0,3.0,48.71541501976285
Toro Albala,Marques de Poley Amontillado Seleccion 1951,1951,4.5,0.4285714285714282,169.95,mid,Montilla-Moriles,5.0,1.0,45.28162055335969
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014,4.5,0.4285714285714282,49.9,low,Ribera del Duero,5.0,3.0,47.89340101522843
Enate,Reserva Especial,2006,4.5,0.4285714285714282,65.9,mid,Somontano,4.0,3.0,69.71343873517787
Divina Proporcion,Platon Tinto,2019,4.5,0.4285714285714282,25.9,low,Toro,5.0,3.0,79.34010152284263
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013,4.5,0.4285714285714282,58.19,mid,Vino de Espana,5.0,3.0,75.3211462450593
Dominio del Aguila,Canta la Perdiz,2013,4.5,0.4285714285714282,295.0,mid,Ribera del Duero,5.0,3.0,37.648221343873516
Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016,4.5,0.4285714285714282,35.5,low,Rioja,4.0,3.0,63.55329949238578
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013,4.5,0.4285714285714282,53.7,mid,Cava,2.0,3.0,79.12549407114624
Penafiel,Alba de Miros Rueda Verdejo,2019,4.5,0.4285714285714282,9.9,low,Rueda,3.0,3.0,96.29441624365482
Carmelo Rodero,Ribera del Duero TSM,2006,4.5,0.4285714285714282,40.8333333333333,low,Ribera del Duero,5.0,3.0,55.27918781725889
Dominio de Cair,Pendon De La Aguilera,2010,4.5,0.4285714285714282,299.286840932831,mid,Ribera del Duero,5.0,3.0,37.32707509881423
Valquejigoso,V2 Tinto,2009,4.5,0.4285714285714282,43.6838985,low,Madrid,4.0,3.0,53.045685279187815
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003,4.5,0.4285714285714282,1372.14,high,Priorato,4.0,3.0,23.52941176470588
Martinet,Cami Pesseroles,2016,4.5,0.4285714285714282,79.55,mid,Priorato,4.0,3.0,62.77173913043479
Cal Pla,Planots Priorat,2013,4.5,0.4285714285714282,57.0,mid,Priorato,4.0,3.0,75.98814229249011
Veigamoura,Blanco,2013,4.5,0.4285714285714282,14.96,low,Rias Baixas,3.0,3.0,93.75634517766498
Vizcarra,Celia,2011,4.5,0.4285714285714282,60.06,mid,Ribera del Duero,5.0,3.0,73.19664031620555
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2010,4.5,0.4285714285714282,237.0,mid,Ribera del Duero,5.0,3.0,40.044466403162055
Clos Erasmus,Priorat,1998,4.5,0.4285714285714282,993.28,mid,Priorato,4.0,3.0,31.22529644268775
Legaris,Calmo,2014,4.5,0.4285714285714282,71.9,mid,Ribera del Duero,5.0,3.0,66.9713438735178
Federico Paternina,Gran Reserva,1928,4.5,0.4285714285714282,270.0,mid,Rioja,4.0,3.0,38.537549407114625
Marques de Murrieta,Dalmau Rioja,2000,4.5,0.4285714285714282,48.5,low,Rioja,4.0,3.0,49.41624365482233
Anima Negra,Son Negre,2005,4.5,0.4285714285714282,200.0,mid,Mallorca,4.0,3.0,42.0701581027668
Vinicola Real,Confesor Rioja,2004,4.5,0.4285714285714282,107.5,mid,Rioja,4.0,3.0,54.37252964426877
Bodegas San Roman,Cartago Paraje de Pozo,2016,4.5,0.4285714285714282,77.5,mid,Toro,5.0,3.0,63.58695652173913
Losada,La Bienquerida,2019,4.5,0.4285714285714282,32.9,low,Bierzo,3.0,3.0,69.21319796954315
Clos d'Agon,Seleccion Especial,2015,4.5,0.4285714285714282,93.51,mid,Cataluna,4.0,3.0,57.23814229249011
Sacristia AB,Saca Unica,,4.5,0.4285714285714282,96.38,mid,Jerez-Xeres-Sherry,4.0,3.0,56.15118577075099
Huerta de Albala,Taberner No. 1,2011,4.5,0.4285714285714282,75.0,mid,Cadiz,4.0,3.0,65.16798418972331
Uvaguilera Aguilera,Palomero,2010,4.5,0.4285714285714282,44.95,low,Ribera del Duero,5.0,3.0,51.90355329949239
Ysios,Grano a Grano,2017,4.5,0.4285714285714282,75.0,mid,Rioja,4.0,3.0,65.16798418972331
Finca Villacreces,Nebro Ribera del Duero,2015,4.5,0.4285714285714282,143.38,mid,Ribera del Duero,5.0,3.0,48.344861660079054
Vega Sicilia,Valbuena 5o,1976,4.5,0.4285714285714282,195.0,mid,Ribera del Duero,5.0,3.0,42.86067193675889
Dehesa del Carrizal,Petit Verdot,2018,4.5,0.4285714285714282,20.15,low,Dehesa del Carrizal,4.0,3.0,87.30964467005076
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2015,4.5,0.4285714285714282,1373.66,high,Bierzo,4.0,3.0,21.078431372549023
Emilio Hidalgo,Santa Ana Pedro Ximenez 1861,,4.5,0.4285714285714282,320.0,mid,Jerez-Xeres-Sherry,5.0,1.0,36.58596837944664
Altos del Terral,Cuvee Julia Ribera del Duero,2011,4.5,0.4285714285714282,157.0,mid,Ribera del Duero,5.0,3.0,46.66501976284585
Toro Albala,Don PX Seleccion,1949,4.5,0.4285714285714282,295.0,mid,Montilla-Moriles,5.0,1.0,37.648221343873516
Morca,Garnacha,2019,4.5,0.4285714285714282,29.95,low,Campo de Borja,5.0,3.0,72.94416243654823
R. Lopez de Heredia,Vina Tondonia Gran Reserva,2001,4.5,0.4285714285714282,187.91,mid,Rioja,4.0,3.0,43.84881422924901
Martinet,Cami Pesseroles,2013,4.5,0.4285714285714282,113.2,mid,Priorato,4.0,3.0,53.21146245059288
Descendientes de J. Palacios,Las Lamas Bierzo (Corullon),2018,4.5,0.4285714285714282,120.0,mid,Bierzo,3.0,3.0,51.82806324110671
Castillo Perelada,Finca Garbet,2015,4.5,0.4285714285714282,89.9,mid,Emporda,4.0,3.0,58.84387351778657
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006,4.5,0.4285714285714282,59.25,mid,Rioja,4.0,3.0,74.50592885375494
El Regajal,Galia Clos Santuy,2016,4.5,0.4285714285714282,89.0,mid,Castilla y Leon,4.0,3.0,59.21442687747036
Valderiz,Tomas Esteban,2011,4.5,0.4285714285714282,71.3,mid,Ribera del Duero,5.0,3.0,67.0701581027668
Jose Pariente,Finca Las Comas Verdejo,2018,4.5,0.4285714285714282,34.5,low,Rueda,3.0,3.0,66.11675126903553
Vega Sicilia,Valbuena 5o,1975,4.5,0.4285714285714282,195.0,mid,Ribera del Duero,5.0,3.0,42.86067193675889
Abadia Retuerta,Petit Verdot,2004,4.5,0.4285714285714282,160.81,mid,Sardon de Duero,4.0,3.0,46.07213438735178
Amos Baneres,Diables,2018,4.5,0.4285714285714282,38.75,low,Penedes,3.6,3.0,58.4263959390863
Scala Dei,St Antoni de Scala Dei Priorat,2017,4.5,0.4285714285714282,75.04,mid,Priorato,4.0,3.0,64.74802371541502
Gonzalez-Byass,Anada Palo Cortado 1987,1991,4.5,0.4285714285714282,230.0,mid,Jerez Palo Cortado,4.0,3.0,40.365612648221344
Artadi,Valdegines,2019,4.5,0.4285714285714282,40.0,low,Vino de Espana,4.0,2.0,56.16751269035534
Clos Erasmus,Priorat,2018,4.5,0.4285714285714282,225.0,mid,Priorato,4.0,3.0,40.78557312252965
Bodegas Valdelana,Seda de Oro Reserva,2016,4.5,0.4285714285714282,69.0,mid,Rioja,4.0,3.0,68.08300395256917
Abel Mendoza Monge,Grano a Grano Graciano - Garnacha,2016,4.5,0.4285714285714282,55.14,mid,Rioja,5.0,3.0,77.39624505928853
Tinto Pesquera,Reserva,1986,4.5,0.4285714285714282,90.0,mid,Ribera del Duero,5.0,3.0,58.37450592885376
Bodegas Amaren,Carraquintana de Amaren,2017,4.5,0.4285714285714282,56.5,mid,Rioja Alavesa,4.0,3.0,76.55632411067194
Anayon,Garnacha Parcela 81 Vinas Viejas,2017,4.5,0.4285714285714282,54.9,mid,Carinena,4.0,3.0,77.96442687747036
Castell d'Encus,Saktih,2016,4.5,0.4285714285714282,132.95,mid,Costers del Segre,4.0,3.0,49.67885375494071
Gramona,Cava Enoteca Finca de L'Origen Brut Nature,2002,4.5,0.4285714285714282,142.0,mid,Cava,2.0,3.0,48.394268774703555
Sierra Salinas,Salinas 1237,2014,4.5,0.4285714285714282,53.25,mid,Alicante,4.0,3.0,79.42193675889328
Dehesa del Carrizal,Cabernet Sauvignon,2019,4.5,0.4285714285714282,16.9,low,Dehesa del Carrizal,4.0,3.0,91.80203045685279
Vinos Sanz,Finca La Colina Sauvignon Blanc,2021,4.5,0.4285714285714282,13.45,low,Rueda,3.0,3.0,94.84771573604061
Cerro San Cristobal,Dominio del Verso Red Blend,2018,4.5,0.4285714285714282,29.5,low,Condado de Huelva,4.0,3.0,73.78172588832487
Altos de Rioja,Altos R Pigeage Nacido en Barrica Blanco,2019,4.4,0.2857142857142859,29.9168517,low,Rioja,3.0,3.0,65.38071065989848
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2007,4.5,0.4285714285714282,69.0,mid,Priorato,4.0,3.0,68.08300395256917
La Vinya del Vuit,La Vinya del Vuit (8),2015,4.5,0.4285714285714282,73.0,mid,Priorato,4.0,3.0,66.699604743083
Venus la Universal,Venus de la Figuera,2017,4.5,0.4285714285714282,51.5,mid,Montsant,4.0,3.0,80.38537549407114
Pedralonga,Vendetta,2013,4.5,0.4285714285714282,38.0,low,Rias Baixas,3.0,3.0,59.34010152284264
Alion,Ribera del Duero,2009,4.4,0.2857142857142859,189.0,mid,Ribera del Duero,5.0,3.0,32.5592885375494
Pintia,Toro,2011,4.4,0.2857142857142859,39.5,low,Toro,5.0,3.0,49.746192893401016
Pintia,Toro,2012,4.4,0.2857142857142859,89.9,mid,Toro,5.0,3.0,47.653162055335976
Pintia,Toro,2013,4.4,0.2857142857142859,76.8,mid,Toro,5.0,3.0,52.76679841897233
La Rioja Alta,Rioja Gran Reserva 904,2009,4.4,0.2857142857142859,47.5,low,Rioja,4.0,3.0,42.18274111675127
Matarromera,Ribera del Duero Reserva,2016,4.4,0.2857142857142859,31.5,low,Ribera del Duero,5.0,3.0,63.756345177664976
La Rioja Alta,Rioja Gran Reserva 904,2011,4.4,0.2857142857142859,47.95,low,Rioja,4.0,3.0,41.85279187817258
La Rioja Alta,Rioja Gran Reserva 904,2007,4.4,0.2857142857142859,47.95,low,Rioja,4.0,3.0,41.85279187817258
Emilio Moro,Malleolus,2018,4.4,0.2857142857142859,38.61,low,Ribera del Duero,5.0,3.0,50.71065989847716
Muga,Seleccion Especial (Reserva),2016,4.4,0.2857142857142859,27.9,low,Rioja,4.0,3.0,68.32487309644671
Matarromera,Ribera del Duero Reserva,2017,4.4,0.2857142857142859,37.25,low,Ribera del Duero,5.0,3.0,53.09644670050761
Hacienda Monasterio,Cosecha,2016,4.4,0.2857142857142859,37.8,low,Ribera del Duero,5.0,3.0,52.36040609137056
La Rioja Alta,Rioja Gran Reserva 904,2010,4.4,0.2857142857142859,61.55,mid,Rioja,4.0,3.0,61.511857707509876
Muga,Prado Enea Gran Reserva,2011,4.4,0.2857142857142859,43.95,low,Rioja,4.0,3.0,44.77157360406091
Bodegas Mauro,Red,2018,4.4,0.2857142857142859,31.95,low,Castilla y Leon,4.0,3.0,63.12182741116751
Abadia Retuerta,Seleccion Especial,2017,4.4,0.2857142857142859,25.5,low,Sardon de Duero,4.0,3.0,72.05583756345177
Bodegas El Nido,Clio,2014,4.4,0.2857142857142859,35.65,low,Jumilla,4.0,3.0,55.38071065989847
Dominio de Pingus,Flor de Pingus,2012,4.4,0.2857142857142859,125.0,mid,Ribera del Duero,5.0,3.0,39.649209486166
Dominio de Pingus,Flor de Pingus,2013,4.4,0.2857142857142859,125.0,mid,Ribera del Duero,5.0,3.0,39.649209486166
La Rioja Alta,Vina Ardanza Reserva,2015,4.4,0.2857142857142859,23.0,low,Rioja,4.0,3.0,75.83756345177665
Bodegas Roda,Roda I Reserva Rioja,2009,4.4,0.2857142857142859,43.5,low,Rioja,4.0,3.0,45.380710659898476
Bodegas Roda,Roda I Reserva Rioja,2010,4.4,0.2857142857142859,24.7,low,Rioja,4.0,3.0,73.3502538071066
Tomas Postigo,3er Ano Ribera del Duero Tinto,2017,4.4,0.2857142857142859,27.4,low,Ribera del Duero,5.0,3.0,69.13705583756344
Alion,Ribera del Duero,2007,4.4,0.2857142857142859,96.0,mid,Ribera del Duero,5.0,3.0,45.009881422924906
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016,4.4,0.2857142857142859,37.52,low,Rioja,4.0,3.0,52.74111675126903
Bodegas Roda,Roda I Reserva Rioja,2011,4.4,0.2857142857142859,43.95,low,Rioja,4.0,3.0,44.77157360406091
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2017,4.4,0.2857142857142859,19.6,low,Almansa,5.0,3.0,80.50761421319797
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2004,4.4,0.2857142857142859,160.0,mid,Rioja,4.0,3.0,35.00494071146245
Bodegas Roda,Roda I Reserva Rioja,2012,4.4,0.2857142857142859,43.5,low,Rioja,4.0,3.0,45.380710659898476
Tomas Postigo,3er Ano Ribera del Duero Tinto,2018,4.4,0.2857142857142859,27.75,low,Ribera del Duero,5.0,3.0,68.73096446700508
Hacienda Monasterio,Cosecha,2018,4.4,0.2857142857142859,32.5,low,Ribera del Duero,5.0,3.0,61.954314720812185
Bodegas Mauro,Red,2019,4.4,0.2857142857142859,29.45,low,Castilla y Leon,4.0,3.0,65.98984771573603
Aalto,Tinto,2017,4.4,0.2857142857142859,51.526827174062,mid,Ribera del Duero,5.0,3.0,69.12055335968378
Benjamin de Rothschild - Vega Sicilia,Macan,2010,4.4,0.2857142857142859,216.0,mid,Rioja,4.0,3.0,29.940711462450587
Alion,Ribera del Duero,2006,4.4,0.2857142857142859,119.7,mid,Ribera del Duero,5.0,3.0,40.81027667984189
Muga,Torre Muga,2006,4.4,0.2857142857142859,66.73,mid,Rioja,4.0,3.0,58.30039525691699
Bodegas Roda,Roda I Reserva Rioja,2015,4.4,0.2857142857142859,39.95,low,Rioja,4.0,3.0,48.70558375634518
Matsu,El Viejo,2018,4.4,0.2857142857142859,32.01,low,Toro,5.0,3.0,62.588832487309645
Bodegas Valduero,Ribera del Duero Una Cepa I,2016,4.4,0.2857142857142859,28.9,low,Ribera del Duero,5.0,3.0,66.7766497461929
Bodegas San Roman,Tinto,2017,4.4,0.2857142857142859,36.0,low,Toro,5.0,3.0,54.7969543147208
Marques de Vargas,Hacienda Pradolagar,2015,4.4,0.2857142857142859,105.12,mid,Rioja,4.0,3.0,43.52766798418972
